,names,scores,pvals,pvals_adj
5766,FZD1,-0.5381025,0.5905062922,1
5767,CSTA,-0.5381025,0.5905062922,1
5768,PARVA,-0.5405264,0.5888340755,1
5769,CD14,-0.5450945,0.5856885472,1
5770,SPRY4,-0.5520865,0.5808891289,1
5771,HBB,-0.5525526,0.5805698233,1
5772,CTDSPL2,-0.5602282,0.575323786,1
5773,SMAD4,-0.56103617,0.5747728773,1
5774,RGS16,-0.5650138,0.5720643563,1
5775,7SK.2,-0.57296914,0.5666655845,1
5776,MFAP1,-0.5730313,0.5666235029,1
5777,FOXK2,-0.5778169,0.5633877327,1
5778,SLC6A1,-0.579495,0.5622552253,1
5779,SPN,-0.579495,0.5622552253,1
5780,TMEM100,-0.5878232,0.5566509621,1
5781,XCL2,-0.5932925,0.5529854232,1
5782,LST1,-0.594722,0.5520293391,1
5783,DENND1B,-0.59596497,0.5511986221,1
5784,SENP6,-0.59714586,0.5504100107,1
5785,ADAMTS6,-0.5979849,0.5498500193,1
5786,LYPLA2,-0.6049147,0.5452356691,1
5787,LYZ,-0.60709,0.5437911923,1
5788,SFRP2,-0.60709,0.5437911923,1
5789,DDX19B,-0.6162262,0.5377452565,1
5790,TMEM138,-0.6173449,0.5370072642,1
5791,SLC1A7,-0.6208875,0.5346736524,1
5792,P2RY14,-0.6208875,0.5346736524,1
5793,JMJD8,-0.6213226,0.5343874216,1
5794,EPB41L1,-0.6486379,0.5165724733,1
5795,ST7L,-0.6615342,0.5082698029,1
5796,NFASC,-0.66227996,0.5077917984,1
5797,FAM13A,-0.66305685,0.5072941281,1
5798,KLRC1,-0.689875,0.4902728052,1
5799,FAM65C,-0.689875,0.4902728052,1
5800,NTN1,-0.689875,0.4902728052,1
5801,RP11-386I14.4,-0.6927961,0.4884375314,1
5802,SPRR2B,-0.6970845,0.4857499175,1
5803,CYP1B1,-0.7017458,0.4828376979,1
5804,SPRED1,-0.70497763,0.4808241399,1
5805,FAM213A,-0.70500875,0.480804801,1
5806,FIGN,-0.71747,0.4730841476,1
5807,MAP3K7CL,-0.7244309,0.4688012414,1
5808,AIF1,-0.7257982,0.4679624846,1
5809,HOXC6,-0.7312675,0.4646157844,1
5810,CNGA1,-0.7391296,0.4598283179,1
5811,PAMR1,-0.740124,0.459224762,1
5812,RHOQ,-0.74040365,0.4590550919,1
5813,GPAT2,-0.745065,0.4562324332,1
5814,INPP4B,-0.7519327,0.4520915542,1
5815,GZMH,-0.75246096,0.4517739074,1
5816,TBC1D2B,-0.7972096,0.4253293151,1
